stock_name,n_traded_days,net_pnl,gross_pnl,cost_pnl,total_lots_traded,max_delta_qty,max_gross_qty,drawdown,total_volume,market_perc,slippage_fut1,slippage_fut2
SUZLON,32,-9991.861451,8.13854899999933,10000,250,1,1,-9991.861451,1321240000.0,1.8921619085101873e-07,0,0
SHREECEM,142,-14623.776149999996,8296.223850000004,22920,573,1,1,-16435.63771999999,12504400.0,4.582386999776079e-05,0,0
360ONE,57,-18464.13565,175.86434999999983,18640,466,1,1,-18464.13565,75870500.0,6.142044668217555e-06,0,0
SONACOMS,142,-31905.581174999963,254.41882500003703,32160,804,1,1,-31905.581174999963,773222975.0,1.0398035573115246e-06,0,0
LODHA,142,-44440.148820000046,359.8511799999542,44800,1120,1,1,-44440.148820000046,298751850.0,3.7489307597593118e-06,0,0
SBICARD,142,-51716.198425,-76.19842500000232,51640,1291,1,1,-51716.198425,640147200.0,2.016723653559681e-06,0,0
LTF,142,-54692.354809999946,-12.354809999946156,54680,1367,1,1,-54692.354809999946,3345255102.0,4.086384919292771e-07,0,0
SUPREMEIND,142,-64800.474174999916,2039.5258250000843,66840,1671,1,1,-64800.474174999916,68147950.0,2.4520179990740735e-05,0,0
LT,142,-70265.82328000001,-1065.8232800000114,69200,1730,1,1,-70265.82328000001,494666100.0,3.4973085885610515e-06,0,0
SUNPHARMA,142,-70808.3764450001,31.62355499989644,70840,1771,1,1,-70808.3764450001,541103850.0,3.2729391964222763e-06,0,0
SRF,142,-71568.51933000004,831.4806699999608,72400,1810,1,1,-71568.51933000004,236120575.0,7.665575098654574e-06,0,0
LUPIN,142,-72759.91244500008,-199.9124450000818,72560,1814,1,1,-72759.91244500008,366861700.0,4.944642626908178e-06,0,0
SYNGENE,142,-72939.3868399998,220.61316000019724,73160,1829,1,1,-72939.3868399998,357725000.0,5.1128660283737505e-06,0,0
LICI,142,-73334.73391499995,-254.73391499994614,73080,1827,1,1,-73334.73391499995,322239225.0,5.669700825527991e-06,0,0
SBILIFE,142,-76187.39502999993,372.6049700000731,76560,1914,1,1,-76187.39502999993,295615875.0,6.4746184554533815e-06,0,0
SIEMENS,142,-78148.21048999987,-1148.2104899998667,77000,1925,1,1,-78106.26083499986,123146550.0,1.5631781807935343e-05,0,0
SOLARINDS,142,-82807.66689000005,9072.333109999949,91880,2297,1,1,-82807.66689000005,30221025.0,7.60066873972673e-05,0,0
GODREJPROP,142,-95399.39525999996,840.6047400000389,96240,2406,1,1,-95358.62789499995,300213550.0,8.014295157563675e-06,0,0
SHRIRAMFIN,142,-96963.97885999974,316.02114000025904,97280,2432,1,1,-96963.97885999974,1333209900.0,1.8241688724333656e-06,0,0
SAIL,142,-103552.33310300003,7.666896999973687,103560,2589,1,1,-103552.33310300003,4915281500.0,5.267246647012994e-07,0,0
GRASIM,142,-107498.11956499964,-658.1195649996371,106840,2671,1,1,-107498.11956499964,306706750.0,8.708644332085942e-06,0,0
SBIN,142,-109024.75911500001,-384.759115000008,108640,2716,1,1,-109024.75911500001,3865338750.0,7.026551036438915e-07,0,0
LICHSGFIN,142,-121735.53940000004,-15.539400000037858,121720,3043,1,1,-121735.53940000004,920815000.0,3.304681179172798e-06,0,0
GLENMARK,142,-122948.72126000002,851.2787399999797,123800,3095,1,1,-122948.72126000002,332643200.0,9.304263547248223e-06,0,0
LTIM,142,-134979.70217000015,-3739.7021700001496,131240,3281,1,1,-134979.70217000015,117996750.0,2.7805850584867804e-05,0,0
GAIL,142,-135784.45686200005,15.543137999949977,135800,3395,1,1,-135784.45686200005,3496294650.0,9.710279995995188e-07,0,0
LAURUSLABS,142,-143194.65732500015,165.34267499984708,143360,3584,1,1,-143194.65732500015,1099597400.0,3.259374749340077e-06,0,0
GODREJCP,142,-148446.98849000002,-1166.988490000018,147280,3682,1,1,-148446.98849000002,389838000.0,9.44494892750322e-06,0,0
GMRAIRPORT,142,-150431.8018419994,48.19815800059587,150480,3762,1,1,-150431.8018419994,5479272000.0,6.865875612672632e-07,0,0
